Year,World
1750,9350528.0
1751,9350528.0
1752,9354192.0
1753,9354192.0
1754,9357856.0
1755,9361520.0
1756,10006384.0
1757,10010048.0
1758,10013712.0
1759,10017376.0
1760,10017376.0
1761,10973680.0
1762,10977344.0
1763,10981008.0
1764,10984672.0
1765,10988336.0
1766,12259744.0
1767,12263408.0
1768,12267072.0
1769,12270736.0
1770,12274400.0
1771,13611760.0
1772,13615424.0
1773,13619088.0
1774,13622752.0
1775,13626416.0
1776,15037056.0
1777,15040720.0
1778,15044384.0
1779,15048048.0
1780,15055376.0
1781,16843408.0
1782,16847072.0
1783,16854400.0
1784,16858064.0
1785,16869056.0
1786,19151728.0
1787,19159056.0
1788,19162720.0
1789,19170048.0
1790,19177376.0
1791,21419744.0
1792,21896064.0
1793,21914384.0
1794,21881408.0
1795,21892400.0
1796,22951296.0
1797,24094464.0
1798,25094736.0
1799,26428432.0
1800,28091888.0
1801,27959984.0
1802,36782896.0
1803,31488416.0
1804,34309696.0
1805,33419344.0
1806,35046160.0
1807,36874496.0
1808,35064480.0
1809,35090128.0
1810,37380128.0
1811,39582192.0
1812,41007488.0
1813,41220000.0
1814,42128672.0
1815,43488016.0
1816,47664976.0
1817,49431024.0
1818,49643536.0
1819,49947648.0
1820,50687776.0
1821,51435232.0
1822,53465088.0
1823,56550176.0
1824,58525072.0
1825,60756448.0
1826,61419632.0
1827,65915360.0
1828,66637168.0
1829,66395344.0
1830,89123136.0
1831,84528480.0
1832,85111056.0
1833,86807488.0
1834,88485600.0
1835,90445840.0
1836,104775744.0
1837,104691472.0
1838,108044032.0
1839,111612768.0
1840,118929776.0
1841,122619424.0
1842,129504080.0
1843,132852976.0
1844,141423072.0
1845,155210704.0
1846,157793824.0
1847,172402192.0
1848,173816496.0
1849,183511440.0
1850,196896032.0
1851,198804976.0
1852,207550944.0
1853,217209248.0
1854,255138976.0
1855,260165984.0
1856,277291520.0
1857,279889296.0
1858,284171850.0
1859,301312559.0
1860,330642191.0
1861,347735242.0
1862,354057462.0
1863,377859938.0
1864,407091108.0
1865,432307789.0
1866,445970599.0
1867,477814912.0
1868,490752496.0
1869,521130720.0
1870,532536752.0
1871,566142960.0
1872,626371792.0
1873,665419040.0
1874,622997248.0
1875,675799152.0
1876,685552720.0
1877,699098528.0
1878,704381729.0
1879,754869509.0
1880,853707188.0
1881,882407475.0
1882,931924710.0
1883,991035684.0
1884,1002177745.0
1885,1009674571.0
1886,1025478884.0
1887,1076761678.0
1888,1192276070.0
1889,1191804432.0
1890,1298463581.0
1891,1358879690.0
1892,1370094534.0
1893,1353675035.0
1894,1400864597.0
1895,1485281339.0
1896,1533711001.0
1897,1606310640.0
1898,1694277167.0
1899,1850905966.0
1900,1952224654.0
1901,2016760928.0
1902,2067797613.0
1903,2256077250.0
1904,2281857535.0
1905,2429631367.0
1906,2551869513.0
1907,2885281242.0
1908,2776431591.0
1909,2887083061.0
1910,3027588864.0
1911,3082462274.0
1912,3228332151.0
1913,3492411249.0
1914,3168341359.0
1915,3125088543.0
1916,3373154069.0
1917,3527725678.0
1918,3479185579.0
1919,3014874203.0
1920,3507597636.0
1921,3076038222.0
1922,3226445037.0
1923,3661080742.0
1924,3672399351.0
1925,3712867713.0
1926,3645190242.0
1927,3981432883.0
1928,3962552527.0
1929,4255150726.0
1930,3923058343.0
1931,3505272053.0
1932,3159133411.0
1933,3326453782.0
1934,3617657544.0
1935,3796088336.0
1936,4170573685.0
1937,4458901333.0
1938,4195242758.0
1939,4438143987.0
1940,4849926545.0
1941,4959186226.0
1942,4939724859.0
1943,5023250640.0
1944,5105436673.0
1945,4244738093.0
1946,4633477283.0
1947,5130185429.0
1948,5401115478.0
1949,5243102933.0
1950,6003238189.0
1951,6379755941.0
1952,6465694232.0
1953,6647727815.0
1954,6789936494.0
1955,7443207067.0
1956,7924210548.0
1957,8185523970.0
1958,8417600054.0
1959,8856188671.0
1960,9386933671.0
1961,9417462637.0
1962,9750056664.0
1963,10271524394.0
1964,10828857574.0
1965,11317232919.0
1966,11865861396.0
1967,12243045540.0
1968,12909912521.0
1969,13766570654.0
1970,14897567094.0
1971,15498266676.0
1972,16221152268.0
1973,17078792097.0
1974,17009594414.0
1975,17046497217.0
1976,17983972847.0
1977,18494530823.0
1978,19067767178.0
1979,19610017729.0
1980,19492613515.0
1981,19026910179.0
1982,18875760275.0
1983,18998031557.0
1984,19656716874.0
1985,20317483523.0
1986,20619623658.0
1987,21266194534.0
1988,22101399490.0
1989,22406832518.0
1990,22749574360.0
1991,23238102148.0
1992,22569624280.0
1993,22803495349.0
1994,22964583359.0
1995,23453944453.0
1996,24154961206.0
1997,24300550431.0
1998,24206271270.0
1999,24518962288.0
2000,25234207250.0
2001,25451054498.0
2002,26039191477.0
2003,27366723291.0
2004,28627533033.0
2005,29602777196.0
2006,30583530081.0
2007,31493741589.0
2008,32069444008.0
2009,31607042410.0
2010,33343300453.0
2011,34468451046.0
2012,34974075146.0
2013,35283025443.0
2014,35534442952.0
2015,35496406339.0
2016,35452459298.0
2017,35925737687.0
2018,36646139785.0
2019,36702502903.0
2020,34807259099.0
