year,Europe & Central Asia,Middle East & North Africa,Latin America & Caribbean,East Asia & Pacific,South Asia,Sub-Saharab Africa
2000,476823,28150000,43240000,136420000,592940000,1290000000
2001,435200,27790000,40410000,127670000,631100000,490000000
2002,357778,28220000,39380000,143390000,567350000,497570000
2003,250228,25360000,39250000,140110000,553550000,495180000
2004,365833,25810000,37150000,123320000,559670000,511380000
2005,459517,23620000,35730000,131210000,540450000,535720000
2006,474488,15430000,32170000,111530000,527510000,527220000
2007,402675,22450000,31010000,110890000,513210000,527210000
2008,302256,19210000,27380000,102360000,487550000,542720000
2009,261776,19310000,26630000,106460000,447190000,564270000
2010,267043,16290000,22910000,98390000,439300000,576430000
2011,325796,16440000,22750000,86020000,547460000,576460000
2012,193552,18480000,20750000,81190000,380160000,577920000
2013,218085,11990000,19170000,77210000,378940000,583870000
2014,158638,16370000,18300000,74360000,336080000,601260000
2015,6750000,14740000,16840000,65770000,269650000,609880000
2016,277200,13670000,15760000,63570000,238230000,578230000
2017,78290,10210000,14410000,49860000,185040000,594140000
2018,74821,16690000,14130000,47780000,138600000,584070000
2019,61452,12640000,10190000,43810000,102830000,589460000
